This is a simple voting system:
EM = ( password -> P1 ),
P1 = ( select -> P2 ),
P2 = ( vote -> P3 | back -> P1 ),
P3 = ( confirm -> EM | back -> P2 ).
To make it more robust, we generated the following redesigns using a tool called Fortis.
Design 1:
des (0, 88, 40)
(27, "v.exit", 32)
(16, "v.enter", 17)
(30, "v.enter", 25)
(24, "v.enter", 17)
(3, "v.enter", 1)
(33, "v.enter", 36)
(24, "select", 5)
(9, "v.enter", 20)
(15, "confirm", 10)
(35, "vote", 31)
(5, "v.enter", 18)
(8, "back", 9)
(36, "v.exit", 38)
(12, "password", 13)
(26, "back", 30)
(28, "back", 33)
(36, "select", 21)
(6, "v.exit", 4)
(25, "select", 21)
(30, "select", 28)
(33, "select", 28)
(39, "v.enter", 20)
(13, "v.exit", 22)
(31, "v.enter", 27)
(2, "v.exit", 23)
(21, "vote", 27)
(6, "select", 20)
(38, "select", 28)
(15, "back", 9)
(13, "select", 21)
(1, "v.exit", 3)
(2, "select", 20)
(22, "v.enter", 13)
(4, "v.enter", 6)
(32, "back", 35)
(7, "select", 5)
(5, "back", 16)
(35, "v.enter", 21)
(34, "back", 36)
(20, "back", 6)
(11, "confirm", 12)
(21, "v.exit", 26)
(14, "v.enter", 12)
(27, "back", 21)
(23, "select", 5)
(11, "v.exit", 15)
(17, "select", 20)
(18, "v.exit", 19)
(39, "vote", 8)
(16, "select", 5)
(28, "v.enter", 34)
(35, "back", 30)
(39, "back", 7)
(34, "v.exit", 37)
(8, "v.enter", 11)
(9, "back", 7)
(9, "vote", 8)
(8, "confirm", 10)
(15, "v.enter", 11)
(19, "back", 16)
(27, "confirm", 12)
(11, "back", 20)
(29, "select", 28)
(0, "v.enter", 1)
(22, "select", 28)
(1, "password", 2)
(21, "back", 25)
(25, "v.exit", 29)
(17, "v.exit", 24)
(23, "v.enter", 2)
(38, "v.enter", 36)
(7, "v.enter", 6)
(12, "v.exit", 14)
(26, "v.enter", 21)
(4, "select", 5)
(20, "v.exit", 39)
(37, "v.enter", 34)
(29, "v.enter", 25)
(32, "confirm", 10)
(31, "back", 35)
(26, "vote", 31)
(18, "back", 17)
(32, "v.enter", 27)
(19, "v.enter", 18)
(20, "vote", 11)
(37, "back", 33)
(10, "v.enter", 12)
(31, "confirm", 10)

Design 2:
des (0, 58, 28)
(19, "v.exit", 24)
(23, "confirm", 8)
(4, "v.enter", 5)
(9, "back", 14)
(19, "confirm", 10)
(15, "v.enter", 11)
(24, "back", 25)
(1, "v.exit", 3)
(11, "v.exit", 15)
(17, "v.exit", 21)
(22, "v.enter", 17)
(24, "v.enter", 19)
(6, "v.enter", 9)
(14, "vote", 9)
(16, "vote", 19)
(16, "v.exit", 18)
(7, "back", 4)
(8, "v.enter", 10)
(23, "v.enter", 19)
(26, "vote", 6)
(9, "v.exit", 13)
(7, "vote", 6)
(16, "back", 17)
(25, "back", 22)
(1, "password", 2)
(9, "confirm", 10)
(13, "back", 7)
(14, "back", 5)
(12, "v.enter", 10)
(5, "select", 14)
(11, "select", 16)
(2, "select", 14)
(13, "v.enter", 9)
(21, "v.enter", 17)
(24, "confirm", 8)
(6, "confirm", 8)
(23, "back", 25)
(7, "v.enter", 14)
(19, "back", 16)
(0, "v.enter", 1)
(14, "v.exit", 26)
(25, "v.enter", 16)
(10, "password", 11)
(26, "v.enter", 14)
(5, "v.exit", 27)
(26, "back", 4)
(6, "back", 7)
(2, "v.exit", 20)
(10, "v.exit", 12)
(18, "vote", 23)
(27, "v.enter", 5)
(25, "vote", 23)
(13, "confirm", 8)
(3, "v.enter", 1)
(17, "select", 16)
(18, "v.enter", 16)
(20, "v.enter", 2)
(18, "back", 22)

Design 12:
des (0, 64, 21)
(11, "eo.enter", 14)
(3, "confirm", 5)
(4, "eo.enter", 4)
(7, "eo.enter", 5)
(4, "vote", 3)
(20, "eo.enter", 20)
(9, "v.enter", 8)
(13, "confirm", 7)
(3, "v.enter", 6)
(3, "back", 4)
(6, "v.enter", 6)
(9, "eo.enter", 9)
(10, "v.enter", 10)
(17, "v.enter", 16)
(15, "back", 12)
(15, "eo.enter", 15)
(12, "vote", 15)
(5, "v.enter", 7)
(11, "select", 10)
(6, "back", 18)
(8, "v.enter", 8)
(20, "v.enter", 19)
(6, "eo.enter", 3)
(0, "eo.enter", 1)
(18, "eo.enter", 4)
(16, "v.enter", 16)
(8, "select", 10)
(15, "v.enter", 13)
(10, "vote", 13)
(13, "back", 10)
(0, "v.enter", 2)
(2, "eo.enter", 1)
(1, "v.enter", 2)
(18, "v.enter", 18)
(18, "back", 19)
(13, "v.enter", 13)
(2, "password", 16)
(19, "v.enter", 19)
(16, "eo.enter", 17)
(6, "confirm", 7)
(15, "confirm", 5)
(10, "eo.enter", 12)
(13, "eo.enter", 15)
(14, "v.enter", 11)
(17, "eo.enter", 17)
(4, "back", 20)
(8, "eo.enter", 9)
(4, "v.enter", 18)
(18, "vote", 6)
(10, "back", 11)
(19, "select", 18)
(7, "v.enter", 7)
(14, "eo.enter", 14)
(12, "back", 14)
(12, "eo.enter", 12)
(3, "eo.enter", 3)
(19, "eo.enter", 20)
(1, "eo.enter", 1)
(11, "v.enter", 11)
(12, "v.enter", 10)
(5, "eo.enter", 5)
(16, "select", 18)
(2, "v.enter", 2)
(7, "password", 8)
From user perspective, can you compare what is the focus of each redesigns? Keep your answer short and specific.
